Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount
S-00002,Rainforest T-Shirt,FS24,40.99,T-Shirt,S,145,336,Rainforest,Men,Forest Green,30
M-00003,Box Logo Stretch Shirt,SS25,135.99,Shirt,XS,125,26,Box Logo,Men,Pale Mint,0
WS-00002,Circular Print T-Shirt,FS24,62.99,T-Shirt,XS,60,80,Circular,Women,Grey Melange,20
SocksIconic-0001,Iconic Socks,SS25,71.99,Accessories,M,87,13,Iconic,Men,Forest Green,0
WS-00003,Rainforest Print T-Shirt,FS24,84.99,T-Shirt,XXL,207,331,Rainforest,Women,Navy,25
PS-00001,Box Logo Heritage Polo,SS25,101.99,Polo,XS,272,282,Box Logo,Men,Old Rose,0
WL-00003,Iconic Quilted Sweatshirt,SS25,102.99,Sweatshirt,XL,209,71,Iconic,Women,Grey Melange,0
BeltBoxLogo-0001,Box Logo Belt,SS25,72.99,Accessories,One Size,455,120,Box Logo,Men,Olive,0
PS-00002,Patch Graphic Polo,FS24,105.99,Polo,XXL,161,347,Patch,Men,Forest Green,20
WN-00001,Rainforest Logo Shorts,SS25,83.99,Shorts,XS,456,102,Rainforest,Women,Olive,0
ToteBagTribe-0001,Tribe Tote Bag,FS24,88.99,Accessories,One Size,260,321,Tribe,Men,Free Blue,15
WV-00001,Box Logo Swimwear,SS25,51.99,Swimwear,M,162,37,Box Logo,Women,Blue Marine,0
P-00003,Tribe Pants,FS24,95.99,Pants,M,48,425,Tribe,Men,Pale Mint,20
WS-00004,Geographic Stripe T-Shirt,FS24,69.99,T-Shirt,L,20,29,Geographic,Women,Burgundy,15
BeltGeographic-0001,Geographic Belt,SS25,66.99,Accessories,One Size,140,51,Geographic,Men,Petit Four,0
WS-00005,Box Logo Quilted T-Shirt,SS25,49.99,T-Shirt,XXL,112,33,Box Logo,Women,Free Blue,0
L-00001,Geographic Sweatshirt,SS25,146.99,Sweatshirt,S,130,93,Geographic,Men,Forest Green,0
M-00004,Tribe Stripe Shirt,SS25,97.99,Shirt,XXL,41,38,Tribe,Men,Khaki,0
PS-00003,Rainforest Polo,FS24,78.99,Polo,S,67,170,Rainforest,Men,Free Blue,30
WPS-00002,Morgex Polo,FS24,85.99,Polo,XL,13,145,Morgex,Women,Free Blue,25
PS-00004,Morgex Stretch Polo,SS25,91.99,Polo,XL,264,97,Morgex,Men,White Whisper,0
WScarfTribe-0001,Tribe Scarf,SS25,109.99,Accessories,One Size,28,13,Tribe,Women,Khaki,0
V-00001,Box Logo Swimwear,SS25,71.99,Swimwear,M,241,137,Box Logo,Men,Pale Mint,0
WP-00003,Morgex Graphic Pants,FS24,140.99,Pants,M,63,107,Morgex,Women,Stone Grey,25
WP-00004,Geographic Graphic Pants,FS24,127.99,Pants,XS,69,186,Geographic,Women,Olive,20
L-00002,Rainforest Sweatshirt,FS24,154.99,Sweatshirt,XL,42,84,Rainforest,Men,Yellow Sunshine,25
P-00004,Iconic Pants,FS24,107.99,Pants,S,30,57,Iconic,Men,Forest Green,15
L-00003,Iconic Stripe Sweatshirt,FS24,118.99,Sweatshirt,XL,154,392,Iconic,Men,Yellow Sunshine,40
S-00003,Iconic Print T-Shirt,SS25,85.99,T-Shirt,S,476,39,Iconic,Men,Snow White,0
PS-00005,Rainforest Stretch Polo,FS24,102.99,Polo,XL,95,398,Rainforest,Men,Bright White,25
P-00005,Rainforest Print Pants,FS24,124.99,Pants,S,100,436,Rainforest,Men,Grey Melange,20
WPS-00003,Morgex Polo,FS24,69.99,Polo,XL,68,126,Morgex,Women,Forest Green,20
P-00006,Iconic Pants,FS24,142.99,Pants,L,25,226,Iconic,Men,Snow White,20
M-00005,Box Logo Stripe Shirt,FS24,122.99,Shirt,M,105,364,Box Logo,Men,Bright Red,20
N-00002,Tribe Heritage Shorts,SS25,76.99,Shorts,M,52,17,Tribe,Men,Orange Tangerine,0
P-00007,Geographic Pants,SS25,157.99,Pants,XL,290,153,Geographic,Men,Yellow Sunshine,0
WP-00005,Circular Stretch Pants,FS24,137.99,Pants,M,66,190,Circular,Women,Bright White,15
M-00006,Morgex Print Shirt,FS24,86.99,Shirt,L,3,90,Morgex,Men,Snow White,30
M-00007,Box Logo Half-Zip Shirt,SS25,86.99,Shirt,S,163,33,Box Logo,Men,Black Beauty,0
WL-00004,Tribe Sweatshirt,FS24,108.99,Sweatshirt,S,145,213,Tribe,Women,Yellow Sunshine,30
WS-00006,Circular Quilted T-Shirt,SS25,71.99,T-Shirt,XS,259,29,Circular,Women,Caviar,0
N-00003,Iconic Stripe Shorts,SS25,83.99,Shorts,M,384,35,Iconic,Men,Bright Red,0
WP-00006,Circular Quilted Pants,SS25,135.99,Pants,L,304,206,Circular,Women,Orange Tangerine,0
M-00008,Morgex Stretch Shirt,FS24,118.99,Shirt,XXL,29,262,Morgex,Men,Olive,20
S-00004,Tribe Stretch T-Shirt,FS24,88.99,T-Shirt,L,55,171,Tribe,Men,Yellow Sunshine,20
WM-00003,Morgex Shirt,FS24,108.99,Shirt,XL,42,245,Morgex,Women,Olive,25
L-00004,Rainforest Graphic Sweatshirt,FS24,105.99,Sweatshirt,XS,75,191,Rainforest,Men,Burgundy,20
PS-00006,Patch Stretch Polo,FS24,99.99,Polo,XXL,62,338,Patch,Men,Orange Tangerine,20
WPS-00004,Iconic Polo,FS24,108.99,Polo,XL,85,151,Iconic,Women,Beige Sand,10
L-00005,Morgex Stretch Sweatshirt,SS25,123.99,Sweatshirt,M,178,45,Morgex,Men,Blue Marine,0
WP-00007,Box Logo Pants,FS24,151.99,Pants,S,11,41,Box Logo,Women,White Whisper,25
WL-00005,Geographic Sweatshirt,FS24,108.99,Sweatshirt,L,110,340,Geographic,Women,White Whisper,40
L-00006,Geographic Print Sweatshirt,FS24,109.99,Sweatshirt,S,91,375,Geographic,Men,Bright White,10
WN-00002,Circular Graphic Shorts,FS24,76.99,Shorts,XL,20,81,Circular,Women,Yellow Sunshine,20
N-00004,Tribe Shorts,SS25,91.99,Shorts,M,166,34,Tribe,Men,Burgundy,0
WL-00006,Circular Graphic Sweatshirt,FS24,130.99,Sweatshirt,S,212,292,Circular,Women,Yellow Sunshine,20
WPS-00005,Tribe Quilted Polo,SS25,78.99,Polo,XL,95,97,Tribe,Women,Snow White,0
WV-00002,Sun-Lover Stripe Swimwear,FS24,63.99,Swimwear,L,76,242,Sun-Lover,Women,Navy,20
WL-00007,Box Logo Logo Sweatshirt,FS24,105.99,Sweatshirt,XS,2,59,Box Logo,Women,Snow White,25
WP-00008,Box Logo Pants,FS24,124.99,Pants,L,89,397,Box Logo,Women,Grey Melange,20
WL-00008,Patch Stretch Sweatshirt,FS24,114.99,Sweatshirt,XS,73,388,Patch,Women,Snow White,20
PS-00007,Box Logo Stretch Polo,SS25,80.99,Polo,M,73,85,Box Logo,Men,Yellow Sunshine,0
M-00009,Box Logo Half-Zip Shirt,FS24,130.99,Shirt,S,103,447,Box Logo,Men,Pale Mint,20
WN-00003,Geographic Shorts,FS24,56.99,Shorts,L,43,242,Geographic,Women,Navy,40
WPS-00006,Circular Polo,SS25,93.99,Polo,XS,138,59,Circular,Women,Green Lichen,0
P-00008,Morgex Print Pants,FS24,147.99,Pants,S,54,134,Morgex,Men,Snow White,50
WaistBagGeographic-0001,Geographic Waist Bag,FS24,72.99,Accessories,One Size,189,370,Geographic,Men,Green Lichen,30
S-00005,Rainforest Print T-Shirt,FS24,55.99,T-Shirt,M,174,422,Rainforest,Men,Bright White,25
ScarfTribe-0001,Tribe Scarf,FS24,118.99,Accessories,One Size,27,57,Tribe,Men,Bright Red,15
L-00007,Circular Sweatshirt,SS25,98.99,Sweatshirt,L,259,295,Circular,Men,Caviar,0
WM-00004,Rainforest Quilted Shirt,FS24,136.99,Shirt,S,83,115,Rainforest,Women,Blue Marine,10
WN-00004,Circular Print Shorts,SS25,92.99,Shorts,M,203,226,Circular,Women,Burgundy,0
P-00009,Rainforest Logo Pants,SS25,97.99,Pants,XL,151,183,Rainforest,Men,Petit Four,0
WN-00005,Iconic Graphic Shorts,SS25,59.99,Shorts,L,64,5,Iconic,Women,Burgundy,0
WN-00006,Patch Stripe Shorts,SS25,82.99,Shorts,S,194,30,Patch,Women,Snow White,0
S-00006,Tribe Quilted T-Shirt,SS25,63.99,T-Shirt,S,216,84,Tribe,Men,Orange Tangerine,0
P-00010,Rainforest Stretch Pants,SS25,145.99,Pants,XS,218,128,Rainforest,Men,Navy,0
WM-00005,Morgex Stripe Shirt,FS24,114.99,Shirt,XS,85,322,Morgex,Women,Beige Sand,30
WBeanieCircular-0001,Circular Beanie,SS25,91.99,Accessories,One Size,292,256,Circular,Women,Khaki,0
\00002,Trail Graphic Shoes,FS24,168.99,Shoes,41,34,146,Trail,Men,Olive,15
\00003,Slate Shoes,SS25,135.99,Shoes,44,65,67,Slate,Men,Yellow Sunshine,0
WM-00006,Tribe Graphic Shirt,FS24,105.99,Shirt,M,23,510,Tribe,Women,Bright White,25
PS-00008,Iconic Quilted Polo,SS25,78.99,Polo,S,208,238,Iconic,Men,Yellow Sunshine,0
WV-00003,Wave Quilted Swimwear,FS24,67.99,Swimwear,L,63,245,Wave,Women,Black Beauty,25
V-00002,Sun-Lover Half-Zip Swimwear,SS25,45.99,Swimwear,L,185,190,Sun-Lover,Men,Pale Mint,0
WPS-00007,Rainforest Graphic Polo,FS24,66.99,Polo,XS,218,326,Rainforest,Women,Navy,10
PS-00009,Circular Print Polo,FS24,108.99,Polo,XXL,95,374,Circular,Men,Yellow Sunshine,25
N-00005,Iconic Stretch Shorts,FS24,51.99,Shorts,M,69,193,Iconic,Men,Orange Tangerine,40
WaistBagIconic-0001,Iconic Waist Bag,FS24,101.99,Accessories,One Size,29,73,Iconic,Men,Pale Mint,25
WS-00007,Rainforest Half-Zip T-Shirt,SS25,74.99,T-Shirt,XXL,56,5,Rainforest,Women,Green Lichen,0
M-00010,Tribe Logo Shirt,SS25,111.99,Shirt,XL,212,164,Tribe,Men,Green Lichen,0
N-00006,Morgex Shorts,SS25,65.99,Shorts,XL,94,58,Morgex,Men,Bright White,0
WS-00008,Tribe T-Shirt,FS24,37.99,T-Shirt,M,108,363,Tribe,Women,Bright Red,10
N-00007,Patch Logo Shorts,SS25,81.99,Shorts,L,49,35,Patch,Men,Stone Grey,0
\00004,Slate Stripe Shoes,SS25,150.99,Shoes,40,289,187,Slate,Men,Yellow Sunshine,0
L-00008,Iconic Graphic Sweatshirt,FS24,110.99,Sweatshirt,XS,108,264,Iconic,Men,Green Lichen,25
WL-00009,Circular Logo Sweatshirt,SS25,164.99,Sweatshirt,XXL,348,132,Circular,Women,Blue Marine,0
WPS-00008,Rainforest Stretch Polo,FS24,91.99,Polo,M,88,213,Rainforest,Women,Caviar,30
S-00007,Iconic T-Shirt,SS25,61.99,T-Shirt,XS,229,192,Iconic,Men,Green Lichen,0
L-00009,Patch Quilted Sweatshirt,SS25,139.99,Sweatshirt,L,244,229,Patch,Men,Pale Mint,0
N-00008,Morgex Logo Shorts,SS25,81.99,Shorts,XL,123,75,Morgex,Men,Free Blue,0
WPS-00009,Patch Half-Zip Polo,FS24,99.99,Polo,L,13,53,Patch,Women,Blue Marine,25
P-00011,Box Logo Stretch Pants,FS24,132.99,Pants,M,17,29,Box Logo,Men,Grey Melange,25
S-00008,Iconic Print T-Shirt,SS25,81.99,T-Shirt,XS,198,62,Iconic,Men,Bright White,0
WL-00010,Morgex Sweatshirt,SS25,113.99,Sweatshirt,XS,55,35,Morgex,Women,Old Rose,0
PS-00010,Rainforest Polo,FS24,96.99,Polo,S,106,287,Rainforest,Men,Olive,20
PS-00011,Rainforest Polo,FS24,102.99,Polo,L,17,30,Rainforest,Men,Stone Grey,10
ScarfMorgex-0001,Morgex Scarf,FS24,82.99,Accessories,One Size,87,132,Morgex,Men,Navy,10
WL-00011,Patch Sweatshirt,FS24,149.99,Sweatshirt,XS,32,478,Patch,Women,Green Lichen,30
\00005,Box Logo Stretch Shoes,FS24,91.99,Shoes,43,24,191,Box Logo,Men,Burgundy,20
P-00012,Patch Half-Zip Pants,FS24,144.99,Pants,S,103,347,Patch,Men,Green Lichen,30
WM-00007,Patch Quilted Shirt,FS24,149.99,Shirt,XS,35,121,Patch,Women,Forest Green,30
S-00009,Patch T-Shirt,SS25,40.99,T-Shirt,S,257,45,Patch,Men,Burgundy,0
P-00013,Iconic Quilted Pants,FS24,146.99,Pants,XL,32,338,Iconic,Men,Grey Melange,20
WP-00009,Iconic Stretch Pants,FS24,96.99,Pants,M,234,325,Iconic,Women,Orange Tangerine,25
WL-00012,Patch Half-Zip Sweatshirt,SS25,105.99,Sweatshirt,XXL,424,135,Patch,Women,Navy,0
L-00010,Box Logo Print Sweatshirt,SS25,154.99,Sweatshirt,M,91,103,Box Logo,Men,Yellow Sunshine,0
L-00011,Patch Heritage Sweatshirt,SS25,125.99,Sweatshirt,XS,336,153,Patch,Men,Green Lichen,0
WP-00010,Morgex Quilted Pants,FS24,95.99,Pants,XXL,161,221,Morgex,Women,Caviar,30
S-00010,Morgex Half-Zip T-Shirt,SS25,39.99,T-Shirt,M,90,94,Morgex,Men,Khaki,0
PS-00012,Circular Stripe Polo,SS25,99.99,Polo,M,204,172,Circular,Men,Bright White,0
P-00014,Iconic Graphic Pants,FS24,135.99,Pants,XS,11,213,Iconic,Men,Burgundy,20
M-00011,Tribe Graphic Shirt,SS25,93.99,Shirt,S,100,43,Tribe,Men,Forest Green,0
L-00012,Box Logo Half-Zip Sweatshirt,FS24,110.99,Sweatshirt,XL,164,261,Box Logo,Men,Pale Mint,30
S-00011,Geographic Quilted T-Shirt,SS25,57.99,T-Shirt,L,132,151,Geographic,Men,Yellow Sunshine,0
P-00015,Rainforest Logo Pants,SS25,149.99,Pants,M,254,162,Rainforest,Men,Forest Green,0
WL-00013,Morgex Graphic Sweatshirt,FS24,111.99,Sweatshirt,S,17,76,Morgex,Women,Caviar,50
\00006,Cresta Shoes,SS25,99.99,Shoes,42,231,88,Cresta,Men,Stone Grey,0
L-00013,Iconic Sweatshirt,FS24,147.99,Sweatshirt,XS,106,339,Iconic,Men,Forest Green,40
PS-00013,Patch Quilted Polo,SS25,70.99,Polo,M,212,171,Patch,Men,Forest Green,0
WS-00009,Rainforest T-Shirt,FS24,91.99,T-Shirt,XS,20,39,Rainforest,Women,Bright White,20
V-00003,Box Logo Graphic Swimwear,FS24,59.99,Swimwear,M,71,93,Box Logo,Men,Olive,10
M-00012,Rainforest Quilted Shirt,SS25,86.99,Shirt,L,376,191,Rainforest,Men,Green Lichen,0
WP-00011,Box Logo Quilted Pants,FS24,112.99,Pants,L,29,98,Box Logo,Women,Olive,15
M-00013,Box Logo Graphic Shirt,FS24,131.99,Shirt,L,17,39,Box Logo,Men,Caviar,10
WS-00010,Iconic Stretch T-Shirt,FS24,68.99,T-Shirt,M,22,197,Iconic,Women,Bright Red,15
P-00016,Rainforest Heritage Pants,SS25,97.99,Pants,S,62,15,Rainforest,Men,Burgundy,0
WS-00011,Box Logo Graphic T-Shirt,FS24,64.99,T-Shirt,XL,10,67,Box Logo,Women,Old Rose,20
WS-00012,Box Logo Stripe T-Shirt,FS24,61.99,T-Shirt,M,36,454,Box Logo,Women,Burgundy,15
M-00014,Rainforest Shirt,FS24,118.99,Shirt,XL,198,276,Rainforest,Men,Orange Tangerine,40
P-00017,Morgex Quilted Pants,SS25,130.99,Pants,XS,272,70,Morgex,Men,Old Rose,0
WP-00012,Rainforest Graphic Pants,FS24,144.99,Pants,M,41,57,Rainforest,Women,Free Blue,10
WP-00013,Geographic Pants,SS25,145.99,Pants,XL,155,14,Geographic,Women,Black Beauty,0
WN-00007,Circular Quilted Shorts,SS25,58.99,Shorts,XL,238,262,Circular,Women,Bright Red,0
M-00015,Geographic Logo Shirt,FS24,119.99,Shirt,XXL,69,87,Geographic,Men,Stone Grey,20
S-00012,Iconic Graphic T-Shirt,FS24,73.99,T-Shirt,S,198,344,Iconic,Men,Khaki,25
WS-00013,Geographic Stretch T-Shirt,SS25,88.99,T-Shirt,XXL,235,160,Geographic,Women,Yellow Sunshine,0
WL-00014,Morgex Logo Sweatshirt,SS25,159.99,Sweatshirt,M,75,89,Morgex,Women,Grey Melange,0
WN-00008,Rainforest Print Shorts,FS24,78.99,Shorts,M,33,139,Rainforest,Women,Black Beauty,25
WS-00014,Rainforest T-Shirt,FS24,38.99,T-Shirt,XL,66,298,Rainforest,Women,Stone Grey,30
L-00014,Patch Print Sweatshirt,SS25,149.99,Sweatshirt,S,51,45,Patch,Men,Bright White,0
WL-00015,Geographic Graphic Sweatshirt,SS25,160.99,Sweatshirt,M,99,21,Geographic,Women,Old Rose,0
P-00018,Geographic Quilted Pants,FS24,153.99,Pants,XS,43,169,Geographic,Men,Burgundy,25
WL-00016,Patch Sweatshirt,SS25,104.99,Sweatshirt,XS,194,117,Patch,Women,Bright Red,0
WN-00009,Box Logo Logo Shorts,FS24,79.99,Shorts,M,148,307,Box Logo,Women,Orange Tangerine,25
WS-00015,Rainforest T-Shirt,FS24,72.99,T-Shirt,M,32,328,Rainforest,Women,Snow White,20
PS-00014,Patch Print Polo,SS25,96.99,Polo,M,117,31,Patch,Men,Caviar,0
WL-00017,Tribe Stripe Sweatshirt,SS25,131.99,Sweatshirt,XS,387,81,Tribe,Women,Bright White,0
W\00003,Slate Print Shoes,FS24,152.99,Shoes,37,125,393,Slate,Women,Bright Red,15
WPS-00010,Circular Stretch Polo,FS24,101.99,Polo,S,38,51,Circular,Women,Stone Grey,50
L-00015,Rainforest Sweatshirt,SS25,149.99,Sweatshirt,XS,182,128,Rainforest,Men,Navy,0
WN-00010,Circular Graphic Shorts,SS25,84.99,Shorts,M,87,28,Circular,Women,White Whisper,0
L-00016,Iconic Stretch Sweatshirt,SS25,141.99,Sweatshirt,L,237,177,Iconic,Men,Bright White,0
S-00013,Box Logo Stretch T-Shirt,SS25,79.99,T-Shirt,S,362,163,Box Logo,Men,White Whisper,0
S-00014,Geographic Graphic T-Shirt,FS24,81.99,T-Shirt,XL,91,293,Geographic,Men,Old Rose,15
L-00017,Morgex Quilted Sweatshirt,SS25,136.99,Sweatshirt,M,70,82,Morgex,Men,Orange Tangerine,0
L-00018,Box Logo Half-Zip Sweatshirt,FS24,168.99,Sweatshirt,XXL,40,233,Box Logo,Men,Olive,15
WL-00018,Circular Sweatshirt,SS25,167.99,Sweatshirt,XS,221,14,Circular,Women,Bright White,0
WPS-00011,Tribe Polo,FS24,67.99,Polo,XXL,207,364,Tribe,Women,Snow White,30
M-00016,Circular Print Shirt,SS25,127.99,Shirt,L,246,156,Circular,Men,Old Rose,0
\00007,Slate Print Shoes,FS24,124.99,Shoes,41,123,222,Slate,Men,Olive,15
WGlovesMorgex-0001,Morgex Gloves,FS24,63.99,Accessories,One Size,105,215,Morgex,Women,Beige Sand,20
L-00019,Circular Graphic Sweatshirt,SS25,99.99,Sweatshirt,M,93,27,Circular,Men,Free Blue,0
WL-00019,Rainforest Print Sweatshirt,SS25,128.99,Sweatshirt,XL,280,38,Rainforest,Women,Beige Sand,0
P-00019,Tribe Pants,SS25,118.99,Pants,XXL,106,36,Tribe,Men,White Whisper,0
WP-00014,Geographic Heritage Pants,SS25,149.99,Pants,L,140,104,Geographic,Women,Black Beauty,0
WPS-00012,Box Logo Polo,SS25,66.99,Polo,XL,238,229,Box Logo,Women,Green Lichen,0
S-00015,Circular Graphic T-Shirt,SS25,89.99,T-Shirt,XXL,74,4,Circular,Men,Orange Tangerine,0
WL-00020,Patch Heritage Sweatshirt,FS24,161.99,Sweatshirt,XL,16,161,Patch,Women,Navy,50
WL-00021,Iconic Quilted Sweatshirt,SS25,152.99,Sweatshirt,XXL,179,124,Iconic,Women,Old Rose,0
WS-00016,Morgex Quilted T-Shirt,SS25,73.99,T-Shirt,S,244,211,Morgex,Women,Bright Red,0
WL-00022,Iconic Logo Sweatshirt,SS25,135.99,Sweatshirt,L,38,8,Iconic,Women,Grey Melange,0
PS-00015,Patch Stretch Polo,SS25,105.99,Polo,M,258,23,Patch,Men,Navy,0
WS-00017,Circular Graphic T-Shirt,FS24,92.99,T-Shirt,XXL,80,336,Circular,Women,Pale Mint,25
WS-00018,Geographic Heritage T-Shirt,FS24,92.99,T-Shirt,XL,67,523,Geographic,Women,Yellow Sunshine,20
V-00004,Box Logo Print Swimwear,SS25,72.99,Swimwear,XL,373,37,Box Logo,Men,Olive,0
WL-00023,Tribe Print Sweatshirt,SS25,135.99,Sweatshirt,S,439,53,Tribe,Women,Bright Red,0
S-00016,Iconic Print T-Shirt,FS24,42.99,T-Shirt,L,120,345,Iconic,Men,Stone Grey,30
S-00017,Morgex Logo T-Shirt,FS24,81.99,T-Shirt,XS,49,65,Morgex,Men,Black Beauty,15
WM-00008,Box Logo Shirt,FS24,107.99,Shirt,L,138,332,Box Logo,Women,Green Lichen,10
W\00004,Box Logo Print Shoes,SS25,173.99,Shoes,41,110,66,Box Logo,Women,Caviar,0
WM-00009,Circular Shirt,SS25,112.99,Shirt,XXL,29,34,Circular,Women,Stone Grey,0
L-00020,Circular Stretch Sweatshirt,FS24,152.99,Sweatshirt,S,66,132,Circular,Men,Petit Four,30
BackpackIconic-0001,Iconic Backpack,FS24,21.99,Accessories,One Size,106,145,Iconic,Men,White Whisper,25
WL-00024,Box Logo Logo Sweatshirt,SS25,150.99,Sweatshirt,L,498,94,Box Logo,Women,Forest Green,0
W\00005,Slate Stretch Shoes,FS24,175.99,Shoes,42,91,191,Slate,Women,Forest Green,25
S-00018,Tribe Half-Zip T-Shirt,FS24,94.99,T-Shirt,XL,41,178,Tribe,Men,Snow White,15
M-00017,Patch Stripe Shirt,FS24,137.99,Shirt,M,62,130,Patch,Men,Burgundy,30
S-00019,Tribe Heritage T-Shirt,FS24,85.99,T-Shirt,S,21,78,Tribe,Men,Forest Green,30
BackpackGeographic-0001,Geographic Backpack,SS25,51.99,Accessories,One Size,237,141,Geographic,Men,Caviar,0
ToteBagIconic-0001,Iconic Tote Bag,SS25,25.99,Accessories,One Size,261,165,Iconic,Men,Petit Four,0
P-00020,Tribe Stretch Pants,SS25,115.99,Pants,L,165,185,Tribe,Men,Bright Red,0
S-00020,Iconic Logo T-Shirt,SS25,72.99,T-Shirt,XXL,220,226,Iconic,Men,Orange Tangerine,0
L-00021,Circular Heritage Sweatshirt,FS24,159.99,Sweatshirt,M,211,306,Circular,Men,Yellow Sunshine,20
BeltPatch-0001,Patch Belt,FS24,24.99,Accessories,One Size,37,229,Patch,Men,Beige Sand,20
S-00021,Circular Logo T-Shirt,SS25,55.99,T-Shirt,S,285,143,Circular,Men,Navy,0
PS-00016,Patch Heritage Polo,FS24,95.99,Polo,XXL,30,182,Patch,Men,Khaki,50
WM-00010,Rainforest Shirt,SS25,88.99,Shirt,XL,51,38,Rainforest,Women,Grey Melange,0
M-00018,Tribe Print Shirt,SS25,111.99,Shirt,XS,386,120,Tribe,Men,Green Lichen,0
P-00021,Rainforest Stripe Pants,FS24,159.99,Pants,XL,23,29,Rainforest,Men,Pale Mint,10
N-00009,Morgex Shorts,FS24,55.99,Shorts,S,223,353,Morgex,Men,Black Beauty,30
S-00022,Patch Half-Zip T-Shirt,FS24,63.99,T-Shirt,L,10,279,Patch,Men,Khaki,10
PS-00017,Iconic Stripe Polo,SS25,89.99,Polo,XS,287,139,Iconic,Men,Burgundy,0
WS-00019,Geographic Stretch T-Shirt,FS24,84.99,T-Shirt,XXL,10,127,Geographic,Women,Green Lichen,30
W\00006,Box Logo Graphic Shoes,SS25,176.99,Shoes,36,398,198,Box Logo,Women,Khaki,0
S-00023,Patch Stripe T-Shirt,SS25,43.99,T-Shirt,XL,94,24,Patch,Men,Black Beauty,0
L-00022,Circular Sweatshirt,FS24,111.99,Sweatshirt,XXL,76,476,Circular,Men,Pale Mint,20
WM-00011,Tribe Stretch Shirt,FS24,134.99,Shirt,XL,13,57,Tribe,Women,Green Lichen,25
N-00010,Tribe Quilted Shorts,FS24,86.99,Shorts,XXL,178,251,Tribe,Men,Free Blue,20
P-00022,Iconic Stripe Pants,FS24,108.99,Pants,XXL,109,255,Iconic,Men,Green Lichen,15
S-00024,Rainforest Stripe T-Shirt,FS24,45.99,T-Shirt,XS,108,391,Rainforest,Men,Free Blue,10
WL-00025,Iconic Stripe Sweatshirt,SS25,135.99,Sweatshirt,XL,42,10,Iconic,Women,Free Blue,0
WM-00012,Tribe Shirt,SS25,132.99,Shirt,XXL,148,34,Tribe,Women,Bright Red,0
WPS-00013,Geographic Stretch Polo,FS24,68.99,Polo,L,16,281,Geographic,Women,Snow White,20
N-00011,Tribe Shorts,SS25,68.99,Shorts,S,349,96,Tribe,Men,Yellow Sunshine,0
P-00023,Patch Graphic Pants,FS24,106.99,Pants,XXL,72,296,Patch,Men,Yellow Sunshine,20
P-00024,Geographic Half-Zip Pants,FS24,151.99,Pants,XXL,90,198,Geographic,Men,Caviar,20
PS-00018,Patch Polo,SS25,98.99,Polo,XL,32,35,Patch,Men,Blue Marine,0
L-00023,Rainforest Sweatshirt,SS25,157.99,Sweatshirt,L,290,60,Rainforest,Men,Navy,0
P-00025,Circular Print Pants,FS24,140.99,Pants,L,35,523,Circular,Men,Green Lichen,50
W\00007,Cresta Logo Shoes,SS25,187.99,Shoes,36,349,54,Cresta,Women,Free Blue,0
P-00026,Circular Logo Pants,FS24,122.99,Pants,XS,77,485,Circular,Men,Old Rose,10
L-00024,Tribe Print Sweatshirt,FS24,169.99,Sweatshirt,XXL,59,135,Tribe,Men,Yellow Sunshine,20
