Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount,size_type,sell_through
P-00005,Rainforest Print Pants,FS24,124.99,Pants,S,100,436,Rainforest,Men,Grey Melange,20,alpha,0.813
P-00006,Iconic Pants,FS24,142.99,Pants,L,25,226,Iconic,Men,Snow White,20,alpha,0.9
M-00005,Box Logo Stripe Shirt,FS24,122.99,Shirt,M,105,364,Box Logo,Men,Bright Red,20,alpha,0.776
N-00002,Tribe Heritage Shorts,SS25,76.99,Shorts,M,52,17,Tribe,Men,Orange Tangerine,0,alpha,0.246
P-00007,Geographic Pants,SS25,157.99,Pants,XL,290,153,Geographic,Men,Yellow Sunshine,0,alpha,0.345
WP-00005,Circular Stretch Pants,FS24,137.99,Pants,M,66,190,Circular,Women,Bright White,15,alpha,0.742
M-00006,Morgex Print Shirt,FS24,86.99,Shirt,L,3,90,Morgex,Men,Snow White,30,alpha,0.968
M-00007,Box Logo Half-Zip Shirt,SS25,86.99,Shirt,S,163,33,Box Logo,Men,Black Beauty,0,alpha,0.168
WL-00004,Tribe Sweatshirt,FS24,108.99,Sweatshirt,S,145,213,Tribe,Women,Yellow Sunshine,30,alpha,0.595
WS-00006,Circular Quilted T-Shirt,SS25,71.99,T-Shirt,XS,259,29,Circular,Women,Caviar,0,alpha,0.101
N-00003,Iconic Stripe Shorts,SS25,83.99,Shorts,M,384,35,Iconic,Men,Bright Red,0,alpha,0.084
WP-00006,Circular Quilted Pants,SS25,135.99,Pants,L,304,206,Circular,Women,Orange Tangerine,0,alpha,0.404
M-00008,Morgex Stretch Shirt,FS24,118.99,Shirt,XXL,29,262,Morgex,Men,Olive,20,alpha,0.9
S-00004,Tribe Stretch T-Shirt,FS24,88.99,T-Shirt,L,55,171,Tribe,Men,Yellow Sunshine,20,alpha,0.757
WM-00003,Morgex Shirt,FS24,108.99,Shirt,XL,42,245,Morgex,Women,Olive,25,alpha,0.854
L-00004,Rainforest Graphic Sweatshirt,FS24,105.99,Sweatshirt,XS,75,191,Rainforest,Men,Burgundy,20,alpha,0.718
PS-00006,Patch Stretch Polo,FS24,99.99,Polo,XXL,62,338,Patch,Men,Orange Tangerine,20,alpha,0.845
WPS-00004,Iconic Polo,FS24,108.99,Polo,XL,85,151,Iconic,Women,Beige Sand,10,alpha,0.64
L-00005,Morgex Stretch Sweatshirt,SS25,123.99,Sweatshirt,M,178,45,Morgex,Men,Blue Marine,0,alpha,0.202
WP-00007,Box Logo Pants,FS24,151.99,Pants,S,11,41,Box Logo,Women,White Whisper,25,alpha,0.788
WL-00005,Geographic Sweatshirt,FS24,108.99,Sweatshirt,L,110,340,Geographic,Women,White Whisper,40,alpha,0.756
L-00006,Geographic Print Sweatshirt,FS24,109.99,Sweatshirt,S,91,375,Geographic,Men,Bright White,10,alpha,0.805
WN-00002,Circular Graphic Shorts,FS24,76.99,Shorts,XL,20,81,Circular,Women,Yellow Sunshine,20,alpha,0.802
N-00004,Tribe Shorts,SS25,91.99,Shorts,M,166,34,Tribe,Men,Burgundy,0,alpha,0.17
WL-00006,Circular Graphic Sweatshirt,FS24,130.99,Sweatshirt,S,212,292,Circular,Women,Yellow Sunshine,20,alpha,0.579
WPS-00005,Tribe Quilted Polo,SS25,78.99,Polo,XL,95,97,Tribe,Women,Snow White,0,alpha,0.505
WV-00002,Sun-Lover Stripe Swimwear,FS24,63.99,Swimwear,L,76,242,Sun-Lover,Women,Navy,20,alpha,0.761
WL-00007,Box Logo Logo Sweatshirt,FS24,105.99,Sweatshirt,XS,2,59,Box Logo,Women,Snow White,25,alpha,0.967
WP-00008,Box Logo Pants,FS24,124.99,Pants,L,89,397,Box Logo,Women,Grey Melange,20,alpha,0.817
WL-00008,Patch Stretch Sweatshirt,FS24,114.99,Sweatshirt,XS,73,388,Patch,Women,Snow White,20,alpha,0.842
PS-00007,Box Logo Stretch Polo,SS25,80.99,Polo,M,73,85,Box Logo,Men,Yellow Sunshine,0,alpha,0.538
WN-00003,Geographic Shorts,FS24,56.99,Shorts,L,43,242,Geographic,Women,Navy,40,alpha,0.849
WPS-00006,Circular Polo,SS25,93.99,Polo,XS,138,59,Circular,Women,Green Lichen,0,alpha,0.299
P-00008,Morgex Print Pants,FS24,147.99,Pants,S,54,134,Morgex,Men,Snow White,50,alpha,0.713
WaistBagGeographic-0001,Geographic Waist Bag,FS24,72.99,Accessories,One Size,189,370,Geographic,Men,Green Lichen,30,alpha,0.662
S-00005,Rainforest Print T-Shirt,FS24,55.99,T-Shirt,M,174,422,Rainforest,Men,Bright White,25,alpha,0.708
L-00007,Circular Sweatshirt,SS25,98.99,Sweatshirt,L,259,295,Circular,Men,Caviar,0,alpha,0.532
WM-00004,Rainforest Quilted Shirt,FS24,136.99,Shirt,S,83,115,Rainforest,Women,Blue Marine,10,alpha,0.581
WN-00004,Circular Print Shorts,SS25,92.99,Shorts,M,203,226,Circular,Women,Burgundy,0,alpha,0.527
P-00009,Rainforest Logo Pants,SS25,97.99,Pants,XL,151,183,Rainforest,Men,Petit Four,0,alpha,0.548
WN-00005,Iconic Graphic Shorts,SS25,59.99,Shorts,L,64,5,Iconic,Women,Burgundy,0,alpha,0.072
WN-00006,Patch Stripe Shorts,SS25,82.99,Shorts,S,194,30,Patch,Women,Snow White,0,alpha,0.134
S-00006,Tribe Quilted T-Shirt,SS25,63.99,T-Shirt,S,216,84,Tribe,Men,Orange Tangerine,0,alpha,0.28
P-00010,Rainforest Stretch Pants,SS25,145.99,Pants,XS,218,128,Rainforest,Men,Navy,0,alpha,0.37
WM-00005,Morgex Stripe Shirt,FS24,114.99,Shirt,XS,85,322,Morgex,Women,Beige Sand,30,alpha,0.791
WBeanieCircular-0001,Circular Beanie,SS25,91.99,Accessories,One Size,292,256,Circular,Women,Khaki,0,alpha,0.467
\00002,Trail Graphic Shoes,FS24,168.99,Shoes,41,34,146,Trail,Men,Olive,15,numeric,0.811
\00003,Slate Shoes,SS25,135.99,Shoes,44,65,67,Slate,Men,Yellow Sunshine,0,numeric,0.508
WM-00006,Tribe Graphic Shirt,FS24,105.99,Shirt,M,23,510,Tribe,Women,Bright White,25,alpha,0.957
PS-00008,Iconic Quilted Polo,SS25,78.99,Polo,S,208,238,Iconic,Men,Yellow Sunshine,0,alpha,0.534
WV-00003,Wave Quilted Swimwear,FS24,67.99,Swimwear,L,63,245,Wave,Women,Black Beauty,25,alpha,0.795
V-00002,Sun-Lover Half-Zip Swimwear,SS25,45.99,Swimwear,L,185,190,Sun-Lover,Men,Pale Mint,0,alpha,0.507
WPS-00007,Rainforest Graphic Polo,FS24,66.99,Polo,XS,218,326,Rainforest,Women,Navy,10,alpha,0.599
PS-00009,Circular Print Polo,FS24,108.99,Polo,XXL,95,374,Circular,Men,Yellow Sunshine,25,alpha,0.797
N-00005,Iconic Stretch Shorts,FS24,51.99,Shorts,M,69,193,Iconic,Men,Orange Tangerine,40,alpha,0.737
WaistBagIconic-0001,Iconic Waist Bag,FS24,101.99,Accessories,One Size,29,73,Iconic,Men,Pale Mint,25,alpha,0.716
WS-00007,Rainforest Half-Zip T-Shirt,SS25,74.99,T-Shirt,XXL,56,5,Rainforest,Women,Green Lichen,0,alpha,0.082
M-00010,Tribe Logo Shirt,SS25,111.99,Shirt,XL,212,164,Tribe,Men,Green Lichen,0,alpha,0.436
N-00006,Morgex Shorts,SS25,65.99,Shorts,XL,94,58,Morgex,Men,Bright White,0,alpha,0.382
WS-00008,Tribe T-Shirt,FS24,37.99,T-Shirt,M,108,363,Tribe,Women,Bright Red,10,alpha,0.771
N-00007,Patch Logo Shorts,SS25,81.99,Shorts,L,49,35,Patch,Men,Stone Grey,0,alpha,0.417
\00004,Slate Stripe Shoes,SS25,150.99,Shoes,40,289,187,Slate,Men,Yellow Sunshine,0,numeric,0.393
L-00008,Iconic Graphic Sweatshirt,FS24,110.99,Sweatshirt,XS,108,264,Iconic,Men,Green Lichen,25,alpha,0.71
WL-00009,Circular Logo Sweatshirt,SS25,164.99,Sweatshirt,XXL,348,132,Circular,Women,Blue Marine,0,alpha,0.275
WPS-00008,Rainforest Stretch Polo,FS24,91.99,Polo,M,88,213,Rainforest,Women,Caviar,30,alpha,0.708
S-00007,Iconic T-Shirt,SS25,61.99,T-Shirt,XS,229,192,Iconic,Men,Green Lichen,0,alpha,0.456
L-00009,Patch Quilted Sweatshirt,SS25,139.99,Sweatshirt,L,244,229,Patch,Men,Pale Mint,0,alpha,0.484
N-00008,Morgex Logo Shorts,SS25,81.99,Shorts,XL,123,75,Morgex,Men,Free Blue,0,alpha,0.379
WPS-00009,Patch Half-Zip Polo,FS24,99.99,Polo,L,13,53,Patch,Women,Blue Marine,25,alpha,0.803
P-00011,Box Logo Stretch Pants,FS24,132.99,Pants,M,17,29,Box Logo,Men,Grey Melange,25,alpha,0.63
S-00008,Iconic Print T-Shirt,SS25,81.99,T-Shirt,XS,198,62,Iconic,Men,Bright White,0,alpha,0.238
WL-00010,Morgex Sweatshirt,SS25,113.99,Sweatshirt,XS,55,35,Morgex,Women,Old Rose,0,alpha,0.389
PS-00011,Rainforest Polo,FS24,102.99,Polo,L,17,30,Rainforest,Men,Stone Grey,10,alpha,0.638
ScarfMorgex-0001,Morgex Scarf,FS24,82.99,Accessories,One Size,87,132,Morgex,Men,Navy,10,alpha,0.603
WL-00011,Patch Sweatshirt,FS24,149.99,Sweatshirt,XS,32,478,Patch,Women,Green Lichen,30,alpha,0.937
\00005,Box Logo Stretch Shoes,FS24,91.99,Shoes,43,24,191,Box Logo,Men,Burgundy,20,numeric,0.888
P-00012,Patch Half-Zip Pants,FS24,144.99,Pants,S,103,347,Patch,Men,Green Lichen,30,alpha,0.771
WM-00007,Patch Quilted Shirt,FS24,149.99,Shirt,XS,35,121,Patch,Women,Forest Green,30,alpha,0.776
S-00009,Patch T-Shirt,SS25,40.99,T-Shirt,S,257,45,Patch,Men,Burgundy,0,alpha,0.149
P-00013,Iconic Quilted Pants,FS24,146.99,Pants,XL,32,338,Iconic,Men,Grey Melange,20,alpha,0.914
WP-00009,Iconic Stretch Pants,FS24,96.99,Pants,M,234,325,Iconic,Women,Orange Tangerine,25,alpha,0.581
WL-00012,Patch Half-Zip Sweatshirt,SS25,105.99,Sweatshirt,XXL,424,135,Patch,Women,Navy,0,alpha,0.242
L-00010,Box Logo Print Sweatshirt,SS25,154.99,Sweatshirt,M,91,103,Box Logo,Men,Yellow Sunshine,0,alpha,0.531
L-00011,Patch Heritage Sweatshirt,SS25,125.99,Sweatshirt,XS,336,153,Patch,Men,Green Lichen,0,alpha,0.313
WP-00010,Morgex Quilted Pants,FS24,95.99,Pants,XXL,161,221,Morgex,Women,Caviar,30,alpha,0.579
S-00010,Morgex Half-Zip T-Shirt,SS25,39.99,T-Shirt,M,90,94,Morgex,Men,Khaki,0,alpha,0.511
PS-00012,Circular Stripe Polo,SS25,99.99,Polo,M,204,172,Circular,Men,Bright White,0,alpha,0.457
P-00014,Iconic Graphic Pants,FS24,135.99,Pants,XS,11,213,Iconic,Men,Burgundy,20,alpha,0.951
M-00011,Tribe Graphic Shirt,SS25,93.99,Shirt,S,100,43,Tribe,Men,Forest Green,0,alpha,0.301
L-00012,Box Logo Half-Zip Sweatshirt,FS24,110.99,Sweatshirt,XL,164,261,Box Logo,Men,Pale Mint,30,alpha,0.614
S-00011,Geographic Quilted T-Shirt,SS25,57.99,T-Shirt,L,132,151,Geographic,Men,Yellow Sunshine,0,alpha,0.534
P-00015,Rainforest Logo Pants,SS25,149.99,Pants,M,254,162,Rainforest,Men,Forest Green,0,alpha,0.389
WL-00013,Morgex Graphic Sweatshirt,FS24,111.99,Sweatshirt,S,17,76,Morgex,Women,Caviar,50,alpha,0.817
\00006,Cresta Shoes,SS25,99.99,Shoes,42,231,88,Cresta,Men,Stone Grey,0,numeric,0.276
L-00013,Iconic Sweatshirt,FS24,147.99,Sweatshirt,XS,106,339,Iconic,Men,Forest Green,40,alpha,0.762
PS-00013,Patch Quilted Polo,SS25,70.99,Polo,M,212,171,Patch,Men,Forest Green,0,alpha,0.446
WS-00009,Rainforest T-Shirt,FS24,91.99,T-Shirt,XS,20,39,Rainforest,Women,Bright White,20,alpha,0.661
V-00003,Box Logo Graphic Swimwear,FS24,59.99,Swimwear,M,71,93,Box Logo,Men,Olive,10,alpha,0.567
M-00012,Rainforest Quilted Shirt,SS25,86.99,Shirt,L,376,191,Rainforest,Men,Green Lichen,0,alpha,0.337
WP-00011,Box Logo Quilted Pants,FS24,112.99,Pants,L,29,98,Box Logo,Women,Olive,15,alpha,0.772
M-00013,Box Logo Graphic Shirt,FS24,131.99,Shirt,L,17,39,Box Logo,Men,Caviar,10,alpha,0.696
WS-00010,Iconic Stretch T-Shirt,FS24,68.99,T-Shirt,M,22,197,Iconic,Women,Bright Red,15,alpha,0.9
P-00016,Rainforest Heritage Pants,SS25,97.99,Pants,S,62,15,Rainforest,Men,Burgundy,0,alpha,0.195
WS-00012,Box Logo Stripe T-Shirt,FS24,61.99,T-Shirt,M,36,454,Box Logo,Women,Burgundy,15,alpha,0.927
M-00014,Rainforest Shirt,FS24,118.99,Shirt,XL,198,276,Rainforest,Men,Orange Tangerine,40,alpha,0.582
P-00017,Morgex Quilted Pants,SS25,130.99,Pants,XS,272,70,Morgex,Men,Old Rose,0,alpha,0.205
WP-00012,Rainforest Graphic Pants,FS24,144.99,Pants,M,41,57,Rainforest,Women,Free Blue,10,alpha,0.582
WN-00007,Circular Quilted Shorts,SS25,58.99,Shorts,XL,238,262,Circular,Women,Bright Red,0,alpha,0.524
M-00015,Geographic Logo Shirt,FS24,119.99,Shirt,XXL,69,87,Geographic,Men,Stone Grey,20,alpha,0.558
S-00012,Iconic Graphic T-Shirt,FS24,73.99,T-Shirt,S,198,344,Iconic,Men,Khaki,25,alpha,0.635
WS-00013,Geographic Stretch T-Shirt,SS25,88.99,T-Shirt,XXL,235,160,Geographic,Women,Yellow Sunshine,0,alpha,0.405
WL-00014,Morgex Logo Sweatshirt,SS25,159.99,Sweatshirt,M,75,89,Morgex,Women,Grey Melange,0,alpha,0.543
WN-00008,Rainforest Print Shorts,FS24,78.99,Shorts,M,33,139,Rainforest,Women,Black Beauty,25,alpha,0.808
WS-00014,Rainforest T-Shirt,FS24,38.99,T-Shirt,XL,66,298,Rainforest,Women,Stone Grey,30,alpha,0.819
L-00014,Patch Print Sweatshirt,SS25,149.99,Sweatshirt,S,51,45,Patch,Men,Bright White,0,alpha,0.469
WL-00015,Geographic Graphic Sweatshirt,SS25,160.99,Sweatshirt,M,99,21,Geographic,Women,Old Rose,0,alpha,0.175
P-00018,Geographic Quilted Pants,FS24,153.99,Pants,XS,43,169,Geographic,Men,Burgundy,25,alpha,0.797
WN-00009,Box Logo Logo Shorts,FS24,79.99,Shorts,M,148,307,Box Logo,Women,Orange Tangerine,25,alpha,0.675
WS-00015,Rainforest T-Shirt,FS24,72.99,T-Shirt,M,32,328,Rainforest,Women,Snow White,20,alpha,0.911
PS-00014,Patch Print Polo,SS25,96.99,Polo,M,117,31,Patch,Men,Caviar,0,alpha,0.209
WL-00017,Tribe Stripe Sweatshirt,SS25,131.99,Sweatshirt,XS,387,81,Tribe,Women,Bright White,0,alpha,0.173
W\00003,Slate Print Shoes,FS24,152.99,Shoes,37,125,393,Slate,Women,Bright Red,15,numeric,0.759
WPS-00010,Circular Stretch Polo,FS24,101.99,Polo,S,38,51,Circular,Women,Stone Grey,50,alpha,0.573
L-00015,Rainforest Sweatshirt,SS25,149.99,Sweatshirt,XS,182,128,Rainforest,Men,Navy,0,alpha,0.413
WN-00010,Circular Graphic Shorts,SS25,84.99,Shorts,M,87,28,Circular,Women,White Whisper,0,alpha,0.243
L-00016,Iconic Stretch Sweatshirt,SS25,141.99,Sweatshirt,L,237,177,Iconic,Men,Bright White,0,alpha,0.428
S-00013,Box Logo Stretch T-Shirt,SS25,79.99,T-Shirt,S,362,163,Box Logo,Men,White Whisper,0,alpha,0.31
S-00014,Geographic Graphic T-Shirt,FS24,81.99,T-Shirt,XL,91,293,Geographic,Men,Old Rose,15,alpha,0.763
L-00017,Morgex Quilted Sweatshirt,SS25,136.99,Sweatshirt,M,70,82,Morgex,Men,Orange Tangerine,0,alpha,0.539
L-00018,Box Logo Half-Zip Sweatshirt,FS24,168.99,Sweatshirt,XXL,40,233,Box Logo,Men,Olive,15,alpha,0.853
WL-00018,Circular Sweatshirt,SS25,167.99,Sweatshirt,XS,221,14,Circular,Women,Bright White,0,alpha,0.06
WPS-00011,Tribe Polo,FS24,67.99,Polo,XXL,207,364,Tribe,Women,Snow White,30,alpha,0.637
M-00016,Circular Print Shirt,SS25,127.99,Shirt,L,246,156,Circular,Men,Old Rose,0,alpha,0.388
\00007,Slate Print Shoes,FS24,124.99,Shoes,41,123,222,Slate,Men,Olive,15,numeric,0.643
WGlovesMorgex-0001,Morgex Gloves,FS24,63.99,Accessories,One Size,105,215,Morgex,Women,Beige Sand,20,alpha,0.672
L-00019,Circular Graphic Sweatshirt,SS25,99.99,Sweatshirt,M,93,27,Circular,Men,Free Blue,0,alpha,0.225
WL-00019,Rainforest Print Sweatshirt,SS25,128.99,Sweatshirt,XL,280,38,Rainforest,Women,Beige Sand,0,alpha,0.119
P-00019,Tribe Pants,SS25,118.99,Pants,XXL,106,36,Tribe,Men,White Whisper,0,alpha,0.254
WP-00014,Geographic Heritage Pants,SS25,149.99,Pants,L,140,104,Geographic,Women,Black Beauty,0,alpha,0.426
S-00015,Circular Graphic T-Shirt,SS25,89.99,T-Shirt,XXL,74,4,Circular,Men,Orange Tangerine,0,alpha,0.051
WL-00021,Iconic Quilted Sweatshirt,SS25,152.99,Sweatshirt,XXL,179,124,Iconic,Women,Old Rose,0,alpha,0.409
WS-00016,Morgex Quilted T-Shirt,SS25,73.99,T-Shirt,S,244,211,Morgex,Women,Bright Red,0,alpha,0.464
WL-00022,Iconic Logo Sweatshirt,SS25,135.99,Sweatshirt,L,38,8,Iconic,Women,Grey Melange,0,alpha,0.174
PS-00015,Patch Stretch Polo,SS25,105.99,Polo,M,258,23,Patch,Men,Navy,0,alpha,0.082
WS-00018,Geographic Heritage T-Shirt,FS24,92.99,T-Shirt,XL,67,523,Geographic,Women,Yellow Sunshine,20,alpha,0.886
V-00004,Box Logo Print Swimwear,SS25,72.99,Swimwear,XL,373,37,Box Logo,Men,Olive,0,alpha,0.09
WL-00023,Tribe Print Sweatshirt,SS25,135.99,Sweatshirt,S,439,53,Tribe,Women,Bright Red,0,alpha,0.108
S-00016,Iconic Print T-Shirt,FS24,42.99,T-Shirt,L,120,345,Iconic,Men,Stone Grey,30,alpha,0.742
S-00017,Morgex Logo T-Shirt,FS24,81.99,T-Shirt,XS,49,65,Morgex,Men,Black Beauty,15,alpha,0.57
WM-00008,Box Logo Shirt,FS24,107.99,Shirt,L,138,332,Box Logo,Women,Green Lichen,10,alpha,0.706
W\00004,Box Logo Print Shoes,SS25,173.99,Shoes,41,110,66,Box Logo,Women,Caviar,0,numeric,0.375
WM-00009,Circular Shirt,SS25,112.99,Shirt,XXL,29,34,Circular,Women,Stone Grey,0,alpha,0.54
L-00020,Circular Stretch Sweatshirt,FS24,152.99,Sweatshirt,S,66,132,Circular,Men,Petit Four,30,alpha,0.667
BackpackIconic-0001,Iconic Backpack,FS24,21.99,Accessories,One Size,106,145,Iconic,Men,White Whisper,25,alpha,0.578
WL-00024,Box Logo Logo Sweatshirt,SS25,150.99,Sweatshirt,L,498,94,Box Logo,Women,Forest Green,0,alpha,0.159
W\00005,Slate Stretch Shoes,FS24,175.99,Shoes,42,91,191,Slate,Women,Forest Green,25,numeric,0.677
S-00018,Tribe Half-Zip T-Shirt,FS24,94.99,T-Shirt,XL,41,178,Tribe,Men,Snow White,15,alpha,0.813
M-00017,Patch Stripe Shirt,FS24,137.99,Shirt,M,62,130,Patch,Men,Burgundy,30,alpha,0.677
S-00019,Tribe Heritage T-Shirt,FS24,85.99,T-Shirt,S,21,78,Tribe,Men,Forest Green,30,alpha,0.788
BackpackGeographic-0001,Geographic Backpack,SS25,51.99,Accessories,One Size,237,141,Geographic,Men,Caviar,0,alpha,0.373
ToteBagIconic-0001,Iconic Tote Bag,SS25,25.99,Accessories,One Size,261,165,Iconic,Men,Petit Four,0,alpha,0.387
P-00020,Tribe Stretch Pants,SS25,115.99,Pants,L,165,185,Tribe,Men,Bright Red,0,alpha,0.529
S-00020,Iconic Logo T-Shirt,SS25,72.99,T-Shirt,XXL,220,226,Iconic,Men,Orange Tangerine,0,alpha,0.507
L-00021,Circular Heritage Sweatshirt,FS24,159.99,Sweatshirt,M,211,306,Circular,Men,Yellow Sunshine,20,alpha,0.592
BeltPatch-0001,Patch Belt,FS24,24.99,Accessories,One Size,37,229,Patch,Men,Beige Sand,20,alpha,0.861
S-00021,Circular Logo T-Shirt,SS25,55.99,T-Shirt,S,285,143,Circular,Men,Navy,0,alpha,0.334
PS-00016,Patch Heritage Polo,FS24,95.99,Polo,XXL,30,182,Patch,Men,Khaki,50,alpha,0.858
M-00018,Tribe Print Shirt,SS25,111.99,Shirt,XS,386,120,Tribe,Men,Green Lichen,0,alpha,0.237
P-00021,Rainforest Stripe Pants,FS24,159.99,Pants,XL,23,29,Rainforest,Men,Pale Mint,10,alpha,0.558
N-00009,Morgex Shorts,FS24,55.99,Shorts,S,223,353,Morgex,Men,Black Beauty,30,alpha,0.613
S-00022,Patch Half-Zip T-Shirt,FS24,63.99,T-Shirt,L,10,279,Patch,Men,Khaki,10,alpha,0.965
PS-00017,Iconic Stripe Polo,SS25,89.99,Polo,XS,287,139,Iconic,Men,Burgundy,0,alpha,0.326
